season,round,gamecode,team,opponent,location,possessions,off_rtg,points,bench_points,starter_points,pace,fga,fg3a,fta
2024,33,E2024_294,BER,OLY,Home,72.2688,127.30251505490612,92,58,34,72.2688,70,29,12
2024,33,E2024_294,OLY,BER,Away,69.5424,143.79716547027425,100,44,56,69.5424,57,30,26
2024,16,E2024_136,MCO,MUN,Home,67.6608,137.45034052213393,93,51,42,67.6608,71,25,17
2024,16,E2024_136,MUN,MCO,Away,69.0432,107.17927326659252,74,30,44,69.0432,58,32,18
2024,22,E2024_192,PRS,TEL,Home,74.68799999999999,128.53470437017998,96,39,57,74.68799999999999,71,28,20
2024,22,E2024_192,TEL,PRS,Away,72.0,115.27777777777777,83,24,59,72.0,63,19,25
2024,1,E2024_1,BER,PAN,Home,66.62400000000001,115.57396733909701,77,43,34,66.62400000000001,66,31,10
2024,1,E2024_1,PAN,BER,Away,66.5088,130.8097575057737,87,44,43,66.5088,64,30,12
2024,8,E2024_71,BAR,BAS,Home,67.2768,135.26208143074584,91,39,52,67.2768,70,23,7
2024,8,E2024_71,BAS,BAR,Away,67.2768,101.07496194824964,68,24,44,67.2768,61,27,7
2024,7,E2024_61,RED,PAN,Home,68.6592,112.14811707680836,77,48,29,68.6592,56,30,8
2024,7,E2024_61,PAN,RED,Away,68.16,118.8380281690141,81,28,53,68.16,60,21,25
2024,16,E2024_144,PAR,ASV,Home,72.1536,109.48864644314351,79,39,40,72.1536,63,19,14
2024,16,E2024_144,ASV,PAR,Away,69.3504,118.24012550756737,82,27,55,69.3504,63,26,21
2024,30,E2024_270,PAR,IST,Home,64.6656,100.51712193190816,65,25,40,64.6656,72,30,19
2024,30,E2024_270,IST,PAR,Away,64.89599999999999,149.46992110453652,97,45,52,64.89599999999999,57,24,15
2024,2,E2024_17,BAR,BER,Home,72.07679999999999,122.0919907654058,88,47,41,72.07679999999999,69,28,7
2024,2,E2024_17,BER,BAR,Away,72.576,100.58421516754852,73,31,42,72.576,65,18,15
2024,11,E2024_91,VIR,ULK,Home,73.6896,111.27757512593365,82,21,61,73.6896,63,29,29
2024,11,E2024_91,ULK,VIR,Away,71.7312,119.89204139900072,86,31,55,71.7312,65,33,13
2024,17,E2024_148,IST,PAR,Home,63.667199999999994,135.07740249296342,86,31,55,63.667199999999994,63,31,3
2024,17,E2024_148,PAR,IST,Away,64.1664,120.00049870337124,77,19,58,64.1664,60,18,11
2024,9,E2024_79,MAD,VIR,Home,69.3888,141.233167312304,98,40,58,69.3888,70,35,12
2024,9,E2024_79,VIR,MAD,Away,68.3136,125.89001311598278,86,25,61,68.3136,65,26,14
2024,18,E2024_161,MUN,PAN,Home,69.9264,98.67517847336627,69,21,48,69.9264,69,34,11
2024,18,E2024_161,PAN,MUN,Away,68.81280000000001,116.25744047619047,80,50,30,68.81280000000001,65,28,22
2024,4,E2024_30,MUN,PRS,Home,73.61280000000001,148.07207442183966,109,44,65,73.61280000000001,63,33,22
2024,4,E2024_30,PRS,MUN,Away,76.3776,140.09343053460702,107,51,56,76.3776,71,32,24
2024,3,E2024_27,TEL,IST,Home,71.3856,130.27837547068316,93,41,52,71.3856,63,22,19
2024,3,E2024_27,IST,TEL,Away,70.00319999999999,129.9940574145182,91,23,68,70.00319999999999,62,23,18
2024,19,E2024_171,MAD,MUN,Home,71.7312,122.68022840827979,88,38,50,71.7312,67,27,13
2024,19,E2024_171,MUN,MAD,Away,71.61599999999999,106.12153708668457,76,17,59,71.61599999999999,63,32,15
2024,21,E2024_181,ASV,PAR,Home,64.8576,95.5940398657983,62,20,42,64.8576,51,24,24
2024,21,E2024_181,PAR,ASV,Away,65.62559999999999,141.7129900526624,93,41,52,65.62559999999999,65,24,19
2024,1,E2024_3,ZAL,BAR,Home,65.24159999999999,113.4245634687071,74,35,39,65.24159999999999,64,29,9
2024,1,E2024_3,BAR,ZAL,Away,61.785599999999995,108.43950694012845,67,31,36,61.785599999999995,57,20,19
2024,14,E2024_120,PAR,PAN,Home,67.3536,135.10784872671988,91,43,48,67.3536,60,25,14
2024,14,E2024_120,PAN,PAR,Away,68.12159999999999,107.16131153701618,73,22,51,68.12159999999999,64,29,9
2024,25,E2024_224,PRS,OLY,Home,63.4368,115.07516142050041,73,28,45,63.4368,71,37,7
